Tweets,Date
@ibnfdlh brengsek lu kira pantun,2023-04-11 16:08:11+00:00
"@novembless Ah brengsek, pantesan Ronan-nya rada sableng. 👊",2023-04-11 16:07:48+00:00
"Ada lah, manusia pasti ada sisi brengsek nya, tapi kadar kegoblokan gue rada tinggi jadi ya gue lebih liat sisi baik nya whhwhw",2023-04-11 16:07:22+00:00
wahh poll brengsek,2023-04-11 16:06:56+00:00
"Ada satu yang selingkuh, itu yang brengsek",2023-04-11 16:06:50+00:00
BRENGSEK YANG BILANG KENAPA GAK KULIAH SAMBIL KERJA AJA???? DIA GAK TAU AJA STRES NYA DUA KALI LIPAT,2023-04-11 16:06:05+00:00
"Gausah di tanya, iyaa brengsek",2023-04-11 16:05:10+00:00
brengsek,2023-04-11 16:04:59+00:00
@tanyakanrl Sumpah itu yg bikin judulnya brengsek bgt asli,2023-04-11 16:03:52+00:00
"Engga ada yang brengsek, gua nya yang brengsek",2023-04-11 16:03:32+00:00
"Ah brengsek, kucabut lagi deh ucapanku.",2023-04-11 16:02:55+00:00
Waahh brengsek,2023-04-11 16:02:05+00:00
@moonareas mantanmu brengsek ga?,2023-04-11 16:01:49+00:00
@moonareas mantanmu brengsek ga,2023-04-11 16:01:39+00:00
"Terus ga ada yg ngelayat soalnya dia pelit, dzolim, brengsek, cabul, mulut neraka pokoknya dia pantas meninggal ya Allah aamiin 🙏",2023-04-11 16:01:28+00:00
brengsek😭👊🏻,2023-04-11 16:00:56+00:00
Brengsek sih,2023-04-11 16:00:41+00:00
Fak brengsek,2023-04-11 16:00:12+00:00
"@radenrauf ""putusin aku plis, aku udah lost spark sama kamu, aku brengsek, aku bohongin kamu, slingkuhin kamu""

awikwok bener.",2023-04-11 15:59:39+00:00
BRENGSEK LU ASAAA KALTAM GUEE 😢😢😢,2023-04-11 15:59:31+00:00
"brengsek ni laki. 

— random au. next renjun x haechan au nanti https://t.co/gbbOuxZVpn",2023-04-11 15:59:00+00:00
"@radenrauf he said “ maaf aku ga boleh pacaran sama ibuku” brengsek kenapa ga dari dulu, mana bilangnya pas awal2 maba dan udah 3 taun pacaran😭",2023-04-11 15:58:15+00:00
"@tanyarlfes Sorry gw yg brengsek di hubungan kita, lo emang pantes dapet yg terbaik dlm versi lo",2023-04-11 15:57:22+00:00
@biarinajasihhh @telyufess @jambore46 Jadi kalo gitu mending sama yang brengsek dari awal?,2023-04-11 15:54:40+00:00
udah rewatch demon slayer 3x ttp takut sm kokushibo brengsek serem bgt,2023-04-11 15:53:13+00:00
@convomfs ini gwe kea brengsek bngt njr flirting ke sp aj😭,2023-04-11 15:52:20+00:00
"@jenrenqtpie WKWKWKWKWKWK SANTAI, tp emg jen brengsek bgt kalo sampe gak muncul di depan mami!?",2023-04-11 15:50:42+00:00
BRENGSEK😭😭😭,2023-04-11 15:49:44+00:00
"berapa manusia, ya? Kurang dari sepuluh, nampaknya. ""Kenalanku tidak hanya pria atau para suami orang, atau yang sudah pernah coba membuat anak dengan seseorang, tapi juga anak kuliah, sekolah, dan pekerja yang masih perjaka. Kalaupun ada yang brengsek, tanganku mudah menghabisi",2023-04-11 15:49:38+00:00
"@kdrama_menfess Bapaknya Lee Seol udh gaada nder, udh D-word, iya bapaknya Lee Seol blm sempet jdi raja tapi udh diturunin dr tahtanya, iy nder si raja yg skrg yg brengsek itu tuh saudara bapaknya Lee Seol tp beda ibu, bapaknya Lee Seol anak permaisuri, raja brengsek anak selir gtu",2023-04-11 15:49:16+00:00
mati aja pls shidou brengsek,2023-04-11 15:48:12+00:00
"@Marshayangg @telyufess soalnya cowonya awalnya ga brengsek ka, tp ditengah2 nyerah, dan milih cari yang lebih dr pasangannya yg skr ky @jambore46",2023-04-11 15:47:00+00:00
@tanyakanrl Media-media pada brengsek sih bikin headline. Pake kata nikmatin lagi. Dikira dia makanan apa.,2023-04-11 15:45:57+00:00
brengsek bgt lo semudah itu ninggalin gue,2023-04-11 15:45:21+00:00
"Gw emang brengsek, gak ada yang bilang kalo gw orang baik 😜
Jangan percaya kalo ada yang bilang gw orang baik",2023-04-11 15:45:05+00:00
"@radenrauf ""terlalu brengsek buat lu yg baik""
Hahaaha syukur deh ya lu yg ngmg sendiri 🤮🙏",2023-04-11 15:45:01+00:00
brengsek si wawa😭😭,2023-04-11 15:43:14+00:00
haruskah kutinggalkan tugas brengsek ini dan berlayar ke pulau kapuk? https://t.co/c0ZbOLYKTQ,2023-04-11 15:42:50+00:00
@leejoellad BRENGSEK LUCU.,2023-04-11 15:42:24+00:00
LUCU BANGET LAH BRENGSEK,2023-04-11 15:41:26+00:00
NINO BRENGSEK WKWKWKWKWKWK,2023-04-11 15:40:21+00:00
@qwinbaee kd bisa jua brengsek,2023-04-11 15:40:07+00:00
@Vavilavida BRENGSEK DATENG2 MENGHINA,2023-04-11 15:38:39+00:00
