"Date","Price","Open","Close","High","Low","Vol.","Change %"
"11/18/2011",1723.05,1722.29,1723.30,1737.79,1711.34,,0.23
"11/17/2011",1719.10,1762.19,1722.29,1767.16,1710.05,,-2.45
"11/16/2011",1762.35,1781.94,1762.19,1784.14,1754.25,,-1.07
"11/15/2011",1781.40,1780.39,1781.94,1785.85,1760.54,,0.02
"11/14/2011",1781.00,1788.14,1780.39,1796.16,1773.59,,-0.45
"11/11/2011",1788.99,1759.64,1788.14,1789.41,1746.05,,1.69
"11/10/2011",1759.20,1770.71,1759.64,1775.85,1736.55,,-0.74
"11/09/2011",1772.24,1785.20,1770.71,1799.64,1764.14,,-0.71
"11/08/2011",1785.00,1794.89,1785.20,1803.10,1777.10,,-0.60
"11/07/2011",1795.86,1753.95,1794.89,1798.69,1752.89,,2.38
"11/04/2011",1754.15,1763.26,1753.95,1764.90,1750.00,,-0.51
"11/03/2011",1763.15,1736.50,1763.26,1767.90,1722.84,,1.51
"11/02/2011",1737.00,1720.90,1736.50,1745.89,1715.74,,0.97
"11/01/2011",1720.30,1716.05,1720.90,1725.29,1683.74,,0.29
"10/31/2011",1715.25,1744.15,1716.05,1746.50,1706.59,,-1.59
"10/28/2011",1742.95,1744.70,1744.15,1752.85,1733.00,,-0.09
"10/27/2011",1744.45,1725.24,1744.70,1750.11,1705.74,,1.08
"10/26/2011",1725.75,1707.19,1725.24,1728.50,1696.70,,1.20
"10/25/2011",1705.35,1654.40,1707.19,1710.80,1645.24,,3.19
"10/24/2011",1652.68,1641.99,1654.40,1662.09,1635.60,,0.71
"10/21/2011",1641.02,1618.99,1641.99,1648.59,1611.44,,1.35
"10/20/2011",1619.10,1643.44,1618.99,1645.00,1603.99,,-1.38
"10/19/2011",1641.80,1654.75,1643.44,1665.39,1639.40,,-0.81
"10/18/2011",1655.15,1671.20,1654.75,1677.22,1627.20,,-0.93
"10/17/2011",1670.65,1683.29,1671.20,1696.10,1666.44,,-0.55
"10/14/2011",1679.95,1667.30,1683.29,1684.26,1661.50,,0.79
"10/13/2011",1666.70,1674.89,1667.30,1684.39,1653.19,,-0.63
"10/12/2011",1677.20,1662.29,1674.89,1692.10,1660.39,,0.85
"10/11/2011",1663.10,1676.45,1662.29,1685.22,1654.46,,-0.74
"10/10/2011",1675.44,1654.14,1676.45,1678.10,1638.09,,2.20
"10/07/2011",1639.45,1644.20,1654.14,1666.55,1625.95,,-0.68
"10/06/2011",1650.63,1641.49,1644.20,1655.65,1632.24,,0.59
"10/05/2011",1640.90,1624.69,1641.49,1646.70,1597.25,,1.02
"10/04/2011",1624.30,1660.65,1624.69,1678.86,1596.00,,-2.21
"10/03/2011",1660.95,1618.35,1660.65,1664.46,1618.35,,2.29
"09/30/2011",1623.75,1615.99,1618.35,1640.49,1607.19,,0.57
"09/29/2011",1614.55,1606.94,1615.99,1634.09,1583.30,,0.36
"09/28/2011",1608.80,1650.25,1606.94,1668.85,1598.70,,-2.49
"09/27/2011",1649.95,1624.79,1650.25,1677.19,1614.91,,1.39
"09/26/2011",1627.35,1657.29,1624.79,1662.99,1534.99,,-1.77
"09/23/2011",1656.59,1737.63,1657.29,1756.01,1629.99,,-4.56
"09/22/2011",1735.83,1779.34,1737.63,1786.19,1721.84,,-2.58
"09/21/2011",1781.79,1803.54,1779.34,1816.76,1778.80,,-1.22
"09/20/2011",1803.75,1778.34,1803.54,1811.40,1770.24,,1.41
"09/19/2011",1778.75,1818.50,1778.34,1828.47,1770.70,,-1.83
"09/16/2011",1811.95,1788.45,1818.50,1822.20,1763.05,,1.27
"09/15/2011",1789.14,1820.60,1788.45,1826.49,1772.54,,-1.68
"09/14/2011",1819.70,1833.64,1820.60,1844.89,1808.29,,-0.77
"09/13/2011",1833.80,1813.75,1833.64,1843.70,1799.25,,1.11
"09/12/2011",1813.75,1857.66,1813.75,1861.60,1801.09,,-2.37
"09/09/2011",1857.81,1868.76,1857.66,1885.89,1824.94,,-0.59
"09/08/2011",1868.76,1816.96,1868.76,1870.30,1812.99,,2.85
"09/07/2011",1816.96,1872.39,1816.96,1880.61,1793.69,,-3.03
"09/06/2011",1873.72,1903.40,1872.39,1921.11,1860.91,,-1.41
"09/05/2011",1900.49,1877.99,1903.40,1904.20,1875.30,,0.86
"09/02/2011",1884.20,1824.84,1877.99,1884.90,1824.00,,3.24
"09/01/2011",1825.05,1823.09,1824.84,1830.60,1814.65,,0.07
"08/31/2011",1823.80,1835.39,1823.09,1839.70,1812.89,,-0.63
"08/30/2011",1835.30,1787.96,1835.39,1840.26,1784.05,,2.62
"08/29/2011",1788.45,1837.84,1787.96,1839.24,1776.64,,-2.19
"08/26/2011",1828.55,1772.64,1837.84,1829.15,1757.24,,3.21
"08/25/2011",1771.60,1750.35,1772.64,1774.90,1703.45,,1.17
"08/24/2011",1751.05,1830.05,1750.35,1854.11,1749.89,,-4.32
"08/23/2011",1830.15,1897.84,1830.05,1911.96,1823.50,,-3.58
"08/22/2011",1898.10,1859.89,1897.84,1901.19,1858.20,,2.46
"08/19/2011",1852.45,1824.35,1859.89,1877.50,1821.35,,1.54
"08/18/2011",1824.35,1789.64,1824.35,1829.00,1784.34,,2.00
"08/17/2011",1788.65,1786.75,1789.64,1794.90,1779.39,,0.13
"08/16/2011",1786.30,1766.30,1786.75,1788.20,1761.99,,1.18
"08/15/2011",1765.50,1746.25,1766.30,1766.44,1728.01,,1.08
"08/12/2011",1746.60,1763.96,1746.25,1768.30,1723.55,,-1.20
"08/11/2011",1767.90,1796.50,1763.96,1815.79,1734.10,,-1.51
"08/10/2011",1795.00,1743.90,1796.50,1797.36,1740.00,,2.93
"08/09/2011",1743.90,1717.35,1743.90,1778.79,1714.75,,1.55
"08/08/2011",1717.35,1662.75,1717.35,1720.49,1662.67,,3.14
"08/05/2011",1665.00,1648.40,1662.75,1670.10,1642.40,,1.01
"08/04/2011",1648.40,1661.20,1648.40,1682.17,1640.09,,-0.77
"08/03/2011",1661.20,1659.75,1661.20,1673.15,1652.00,,0.09
"08/02/2011",1659.75,1620.32,1659.75,1661.05,1616.29,,2.45
"08/01/2011",1620.10,1628.14,1620.32,1633.66,1609.69,,-0.40
